Parceiro,Grupos de usuários,dias,compradores,vendas_totais,comissao,cashback,receita_liquida,media_diaria_compradores,media_diaria_vendas,media_diaria_receita_liquida,ticket_medio,taxa_comissao,taxa_cashback,margem_liquida,receita_por_comprador
Parceiro C,Grupo 1,45,4549,1738460.0,121693.0,86924.0,34769.0,101.08888888888889,38632.444444444445,772.6444444444444,382.16311277203783,0.07000046017739839,0.050000575221747987,0.0199998849556504,7.6432182897340075
Parceiro C,Grupo 2,45,4522,1685235.0,117967.0,117967.0,0.0,100.4888888888889,37449.666666666664,0.0,372.6747014595312,0.0700003263639789,0.0700003263639789,0.0,0.0
